"","MUNICIPIO","iteracion","ranking"
"528","Mineral Del Chico","Km,18",83
"529","Mineral Del Chico","Km,20",83
"530","Mineral Del Chico","Km,22",83
"531","Mineral Del Chico","Km,24",83
"532","Mineral Del Chico","Km,26",83
"533","Mineral Del Monte","Km, 0",82
"534","Mineral Del Monte","Km,2",43
"535","Mineral Del Monte","Km,4",39
"536","Mineral Del Monte","Km,6",37
"537","Mineral Del Monte","Km,8",37
"538","Mineral Del Monte","Km,10",38
"539","Mineral Del Monte","Km,12",38
"540","Mineral Del Monte","Km,14",39
"541","Mineral Del Monte","Km,16",39
"542","Mineral Del Monte","Km,18",39
"543","Mineral Del Monte","Km,20",39
"544","Mineral Del Monte","Km,22",39
"545","Mineral Del Monte","Km,24",39
"546","Mineral Del Monte","Km,26",39
"547","La Mision","Km, 0",77
"548","La Mision","Km,2",79
"549","La Mision","Km,4",80
"550","La Mision","Km,6",80
"551","La Mision","Km,8",79
"552","La Mision","Km,10",79
"553","La Mision","Km,12",79
"554","La Mision","Km,14",79
"555","La Mision","Km,16",79
"556","La Mision","Km,18",79
"557","La Mision","Km,20",79
"558","La Mision","Km,22",79
"559","La Mision","Km,24",79
"560","La Mision","Km,26",79
"561","Mixquiahuala","Km, 0",14
"562","Mixquiahuala","Km,2",26
"563","Mixquiahuala","Km,4",27
"564","Mixquiahuala","Km,6",27
"565","Mixquiahuala","Km,8",26
"566","Mixquiahuala","Km,10",27
"567","Mixquiahuala","Km,12",27
"568","Mixquiahuala","Km,14",27
"569","Mixquiahuala","Km,16",27
"570","Mixquiahuala","Km,18",26
"571","Mixquiahuala","Km,20",26
"572","Mixquiahuala","Km,22",26
"573","Mixquiahuala","Km,24",26
"574","Mixquiahuala","Km,26",26
"575","Molango","Km, 0",49
"576","Molango","Km,2",69
"577","Molango","Km,4",68
"578","Molango","Km,6",68
"579","Molango","Km,8",68
"580","Molango","Km,10",68
"581","Molango","Km,12",68
"582","Molango","Km,14",68
"583","Molango","Km,16",68
"584","Molango","Km,18",68
"585","Molango","Km,20",68
"586","Molango","Km,22",68
"587","Molango","Km,24",68
"588","Molango","Km,26",68
"589","Nicolas Flores","Km, 0",69
"590","Nicolas Flores","Km,2",55
"591","Nicolas Flores","Km,4",57
"592","Nicolas Flores","Km,6",57
"593","Nicolas Flores","Km,8",56
"594","Nicolas Flores","Km,10",56
"595","Nicolas Flores","Km,12",56
"596","Nicolas Flores","Km,14",56
"597","Nicolas Flores","Km,16",56
"598","Nicolas Flores","Km,18",56
"599","Nicolas Flores","Km,20",56
"600","Nicolas Flores","Km,22",56
"601","Nicolas Flores","Km,24",56
"602","Nicolas Flores","Km,26",56
"603","Nopala","Km, 0",59
"604","Nopala","Km,2",11
"605","Nopala","Km,4",9
"606","Nopala","Km,6",9
"607","Nopala","Km,8",10
"608","Nopala","Km,10",12
"609","Nopala","Km,12",12
"610","Nopala","Km,14",12
"611","Nopala","Km,16",12
"612","Nopala","Km,18",12
"613","Nopala","Km,20",12
"614","Nopala","Km,22",12
"615","Nopala","Km,24",12
"616","Nopala","Km,26",12
"617","SFO","Km, 0",50
"618","SFO","Km,2",52
"619","SFO","Km,4",52
"620","SFO","Km,6",52
"621","SFO","Km,8",54
"622","SFO","Km,10",54
"623","SFO","Km,12",54
"624","SFO","Km,14",54
"625","SFO","Km,16",54
"626","SFO","Km,18",54
